,0,1,2,3,4,5,6,7,8,9
78,Frittata,Coffee,Bread,,,,,,,
79,Coffee,Cake,,,,,,,,
80,Bread,NONE,Tartine,,,,,,,
81,Coffee,Bread,,,,,,,,
82,Bread,,,,,,,,,
83,Pastry,Coffee,Medialuna,,,,,,,
84,Juice,,,,,,,,,
85,Bread,,,,,,,,,
86,Coffee,Jam,,,,,,,,
87,Bread,,,,,,,,,
88,Bread,Coffee,,,,,,,,
89,Tea,NONE,,,,,,,,
90,Coffee,,,,,,,,,
91,Coke,Bread,,,,,,,,
92,Coffee,,,,,,,,,
93,Tea,Farm House,Pastry,,,,,,,
94,Pastry,Coffee,Juice,,,,,,,
95,Pastry,Coffee,Juice,,,,,,,
96,Farm House,,,,,,,,,
97,Pastry,Coffee,Bread,,,,,,,
98,Bread,,,,,,,,,
99,Pastry,Coffee,,,,,,,,
100,Farm House,,,,,,,,,
101,Bread,NONE,,,,,,,,
102,Coffee,Medialuna,Muffin,,,,,,,
103,Tea,Coffee,NONE,Cake,,,,,,
104,Pastry,Coffee,,,,,,,,
105,Tea,Coffee,,,,,,,,
106,Farm House,Muffin,,,,,,,,
107,Pastry,Bread,Muffin,,,,,,,
108,Pastry,,,,,,,,,
109,Coffee,,,,,,,,,
110,Coffee,,,,,,,,,
111,Coffee,Cake,,,,,,,,
112,Farm House,,,,,,,,,
113,Bread,,,,,,,,,
114,Coffee,,,,,,,,,
115,Cookies,Coffee,Cake,My-5 Fruit Shoot,,,,,,
116,Cookies,Tea,Pastry,,,,,,,
117,Coffee,Muffin,,,,,,,,
118,Farm House,,,,,,,,,
119,Coffee,Bread,,,,,,,,
120,Cookies,,,,,,,,,
121,Juice,Coffee,NONE,Jam,,,,,,
122,Coffee,Soup,,,,,,,,
123,Tea,,,,,,,,,
124,Coffee,Jam,,,,,,,,
125,Farm House,,,,,,,,,
126,Tea,Coffee,NONE,Tartine,,,,,,
127,Coffee,Cake,,,,,,,,
128,Coffee,Muffin,,,,,,,,
129,Bread,Coffee,,,,,,,,
130,Tea,Juice,Cookies,Pick and Mix Bowls,,,,,,
131,Hearty & Seasonal,Soup,,,,,,,,
132,Tea,Farm House,Hearty & Seasonal,,,,,,,
133,Bread,,,,,,,,,
134,Tea,Soup,,,,,,,,
135,Farm House,,,,,,,,,
136,Coffee,Hearty & Seasonal,Soup,,,,,,,
137,Bread,Hearty & Seasonal,Muffin,,,,,,,
138,Cookies,Coffee,,,,,,,,
139,Bread,,,,,,,,,
140,Tea,Muffin,,,,,,,,
141,Tea,,,,,,,,,
142,Hearty & Seasonal,Soup,,,,,,,,
143,Tea,Coffee,Focaccia,,,,,,,
144,Sandwich,,,,,,,,,
145,Coffee,Tartine,,,,,,,,
146,Coffee,Fudge,,,,,,,,
147,Coffee,,,,,,,,,
148,Bread,,,,,,,,,
149,Coke,Soup,,,,,,,,
150,Muffin,,,,,,,,,
151,Tea,Coffee,Cookies,Muffin,,,,,,
152,Coke,Coffee,Mighty Protein,Hearty & Seasonal,,,,,,
153,Tea,Sandwich,Muffin,,,,,,,
154,Coffee,Muffin,,,,,,,,
155,Coffee,Bread,,,,,,,,
156,Coffee,Muffin,,,,,,,,
157,Cookies,Bread,Hot chocolate,,,,,,,
158,Mineral water,Muffin,,,,,,,,
159,Tea,,,,,,,,,
160,Muffin,,,,,,,,,
161,Juice,Coffee,,,,,,,,
162,Coffee,Muffin,,,,,,,,
163,Tea,,,,,,,,,
164,Coffee,Muffin,,,,,,,,
165,Bread,Sandwich,Mineral water,Hearty & Seasonal,,,,,,
166,Tea,Coffee,,,,,,,,
167,Mineral water,,,,,,,,,
168,Coffee,,,,,,,,,
169,Tea,Soup,,,,,,,,
170,Bread,Coffee,,,,,,,,
171,Bread,Muffin,,,,,,,,
172,Coffee,,,,,,,,,
173,Bread,,,,,,,,,
174,Cookies,Coffee,,,,,,,,
175,Pastry,Coffee,,,,,,,,
176,Pastry,Coffee,,,,,,,,
177,Tea,Jam,,,,,,,,
178,Tea,,,,,,,,,
179,Pastry,Ella's Kitchen Pouches,,,,,,,,
180,Pastry,,,,,,,,,
181,Tea,NONE,Farm House,,,,,,,
182,Tea,Victorian Sponge,,,,,,,,
183,Tea,Pastry,,,,,,,,
184,Bread,,,,,,,,,
185,Coffee,,,,,,,,,
186,Bread,Coffee,,,,,,,,
187,Pastry,Coffee,,,,,,,,
188,Tea,Soup,,,,,,,,
189,Bread,NONE,,,,,,,,
190,Coffee,,,,,,,,,
191,Bread,,,,,,,,,
192,Bread,NONE,Scandinavian,,,,,,,
193,Cookies,Bread,Cake,,,,,,,
194,Tea,Coffee,,,,,,,,
195,Cookies,Coffee,,,,,,,,
196,Coffee,,,,,,,,,
197,Bread,,,,,,,,,
198,Pastry,Coffee,NONE,,,,,,,
199,Coffee,,,,,,,,,
200,Coffee,,,,,,,,,
201,Bread,Scandinavian,,,,,,,,
202,Pastry,Coffee,,,,,,,,
203,Pastry,Coffee,Scandinavian,,,,,,,
204,Muffin,Coffee,Hearty & Seasonal,,,,,,,
205,Bread,,,,,,,,,
206,Coffee,,,,,,,,,
207,Scandinavian,,,,,,,,,
208,Coffee,Soup,,,,,,,,
209,Cookies,Coffee,Tartine,,,,,,,
210,Bread,,,,,,,,,
211,Tea,Bread,,,,,,,,
212,Pastry,Coffee,,,,,,,,
213,Coffee,Tartine,,,,,,,,
214,Cookies,Bread,,,,,,,,
215,Sandwich,,,,,,,,,
216,Tartine,,,,,,,,,
217,Pastry,Bread,,,,,,,,
218,Bread,Scandinavian,,,,,,,,
219,Scandinavian,,,,,,,,,
220,Coffee,Alfajores,,,,,,,,
221,Coffee,,,,,,,,,
222,Coke,Coffee,Soup,,,,,,,
223,Cake,,,,,,,,,
224,Tea,Sandwich,Soup,,,,,,,
225,Coffee,,,,,,,,,
226,Bread,Hearty & Seasonal,,,,,,,,
227,Alfajores,,,,,,,,,
228,Cake,,,,,,,,,
229,Tea,Bread,,,,,,,,
230,Tea,Coffee,Bread,Soup,,,,,,
231,Coffee,,,,,,,,,
232,Scandinavian,,,,,,,,,
233,Fudge,,,,,,,,,
234,Coffee,Sandwich,,,,,,,,
235,Tea,Bread,Cookies,Pastry,,,,,,
236,Muffin,,,,,,,,,
237,Scandinavian,,,,,,,,,
238,Tea,Jam,,,,,,,,
239,Juice,Tea,Alfajores,,,,,,,
240,Coffee,Cake,Muffin,Soup,,,,,,
241,Hot chocolate,Cake,Coffee,,,,,,,
242,Cookies,Cake,,,,,,,,
243,Tea,Bread,,,,,,,,
244,Juice,Coffee,Alfajores,,,,,,,
245,Tea,Coffee,Soup,,,,,,,
246,Hot chocolate,,,,,,,,,
247,Cookies,,,,,,,,,
248,Coffee,Medialuna,,,,,,,,
249,Bread,Eggs,,,,,,,,
250,Scandinavian,,,,,,,,,
251,Medialuna,,,,,,,,,
252,Pastry,Coffee,,,,,,,,
253,Coffee,Bread,,,,,,,,
254,Pastry,Bread,Coffee,NONE,,,,,,
255,Pastry,Coffee,,,,,,,,
256,Pastry,,,,,,,,,
257,Coffee,,,,,,,,,
258,Coffee,,,,,,,,,
259,Pastry,Coffee,Hot chocolate,,,,,,,
260,Coke,,,,,,,,,
261,Coffee,Jam,,,,,,,,
262,Tea,,,,,,,,,
263,Pastry,Bread,NONE,,,,,,,
264,Coffee,Farm House,Alfajores,,,,,,,
265,Tea,Pastry,,,,,,,,
266,Bread,,,,,,,,,
267,Coffee,Jam,,,,,,,,
268,Tea,Coffee,Pastry,,,,,,,
269,Farm House,,,,,,,,,
270,Pastry,Coffee,NONE,Bread,,,,,,
271,Farm House,,,,,,,,,
272,Pastry,Coffee,,,,,,,,
273,Farm House,,,,,,,,,
274,Pastry,Coffee,,,,,,,,
275,Coffee,NONE,,,,,,,,
276,Pastry,Coffee,,,,,,,,
277,Bread,,,,,,,,,
278,Pastry,Bread,Coffee,,,,,,,
279,Pastry,Coffee,,,,,,,,
280,Coffee,Farm House,,,,,,,,
281,Pastry,Farm House,,,,,,,,
282,Juice,Bread,Alfajores,,,,,,,
283,Pastry,Coffee,,,,,,,,
284,Bread,Alfajores,,,,,,,,
285,Bread,,,,,,,,,
286,Cookies,Coffee,,,,,,,,
287,Coffee,,,,,,,,,
288,Cookies,,,,,,,,,
289,Hearty & Seasonal,,,,,,,,,
290,Coffee,,,,,,,,,
291,Bread,Tartine,Jam,,,,,,,
292,Farm House,Scandinavian,,,,,,,,
293,Muffin,Coffee,Scandinavian,Hearty & Seasonal,,,,,,
294,Coke,Pick and Mix Bowls,Coffee,Tartine,NONE,,,,,
295,Bread,,,,,,,,,
296,Coffee,Farm House,Scandinavian,Alfajores,,,,,,
297,Juice,Mineral water,Soup,,,,,,,
298,Tea,Soup,,,,,,,,
299,Juice,Cookies,Tea,Soup,,,,,,
300,Tea,Hearty & Seasonal,,,,,,,,
301,Fudge,,,,,,,,,
302,Juice,Coffee,Mineral water,Soup,,,,,,
303,Hearty & Seasonal,,,,,,,,,
304,Smoothies,Hearty & Seasonal,,,,,,,,
305,Tea,Hearty & Seasonal,,,,,,,,
306,Coffee,Sandwich,,,,,,,,
307,Cookies,Farm House,,,,,,,,
308,Tea,Juice,Soup,,,,,,,
309,Soup,,,,,,,,,
310,Coffee,,,,,,,,,
311,Bread,,,,,,,,,
312,Cookies,Tea,,,,,,,,
313,Bread,Hearty & Seasonal,Soup,,,,,,,
314,Coffee,,,,,,,,,
315,Coffee,,,,,,,,,
316,Tea,Coffee,,,,,,,,
317,Bread,,,,,,,,,
318,Tea,,,,,,,,,
319,Tea,Coffee,,,,,,,,
320,Coffee,,,,,,,,,
321,Fudge,,,,,,,,,
322,Tea,,,,,,,,,
323,Tea,Soup,,,,,,,,
324,Juice,,,,,,,,,
325,Alfajores,,,,,,,,,
326,Bread,,,,,,,,,
327,Coffee,Alfajores,,,,,,,,
328,Juice,Cookies,Pick and Mix Bowls,Mineral water,Alfajores,,,,,
329,Coffee,Alfajores,,,,,,,,
330,Fudge,,,,,,,,,
331,Juice,Mighty Protein,,,,,,,,
332,Coffee,Mineral water,Alfajores,,,,,,,
333,Coffee,Mighty Protein,,,,,,,,
334,Alfajores,,,,,,,,,
335,Coffee,Bread,,,,,,,,
336,Medialuna,,,,,,,,,
337,Medialuna,Bread,,,,,,,,
338,Farm House,,,,,,,,,
339,Pastry,Coffee,,,,,,,,
340,Farm House,,,,,,,,,
341,Pastry,Coffee,NONE,,,,,,,
342,Medialuna,,,,,,,,,
343,Tea,Bread,NONE,Sandwich,,,,,,
344,Bread,,,,,,,,,
345,Coffee,Farm House,Jam,,,,,,,
346,Focaccia,,,,,,,,,
347,Bread,,,,,,,,,
348,Pastry,Bread,Tartine,My-5 Fruit Shoot,,,,,,
349,Pastry,Farm House,,,,,,,,
350,Pastry,Bread,,,,,,,,
351,Pastry,Bread,,,,,,,,
352,Coffee,Jam,,,,,,,,
353,Farm House,,,,,,,,,
354,Pastry,Bread,,,,,,,,
355,Tea,Coffee,Bread,,,,,,,
356,Jam,,,,,,,,,
357,Pastry,Medialuna,,,,,,,,
358,Coffee,,,,,,,,,
359,Tea,,,,,,,,,
360,Bread,,,,,,,,,
361,Pastry,Bread,,,,,,,,
362,Pastry,,,,,,,,,
363,Farm House,,,,,,,,,
364,Tea,,,,,,,,,
365,Coffee,Brownie,Fudge,Alfajores,,,,,,
366,Cookies,Bread,Fudge,,,,,,,
367,Coffee,,,,,,,,,
368,Bread,,,,,,,,,
369,Pastry,Coffee,Jam,,,,,,,
370,Coffee,Soup,,,,,,,,
371,Pastry,Smoothies,Hearty & Seasonal,Soup,,,,,,
372,Pastry,Bread,,,,,,,,
373,Pastry,Medialuna,,,,,,,,
374,Tea,Coffee,NONE,,,,,,,
375,Cookies,Bread,,,,,,,,
376,Pick and Mix Bowls,Hearty & Seasonal,Coffee,Focaccia,Bread,Sandwich,,,,
377,Coffee,,,,,,,,,
378,Coffee,Sandwich,Brownie,,,,,,,
379,Cookies,Brownie,,,,,,,,
380,Coffee,,,,,,,,,
381,Coffee,NONE,,,,,,,,
382,Bread,NONE,Sandwich,Coffee,,,,,,
383,Coffee,Hot chocolate,,,,,,,,
384,Tea,NONE,,,,,,,,
385,Coffee,Sandwich,Brownie,,,,,,,
386,Pastry,Brownie,Farm House,Focaccia,,,,,,
387,Cake,Focaccia,,,,,,,,
388,Mineral water,Hearty & Seasonal,Soup,,,,,,,
389,Hearty & Seasonal,,,,,,,,,
390,Hearty & Seasonal,,,,,,,,,
391,Pastry,Coffee,,,,,,,,
392,Coffee,,,,,,,,,
393,Tea,Cake,,,,,,,,
394,Coffee,Soup,,,,,,,,
395,Bread,Focaccia,Fudge,,,,,,,
396,Hot chocolate,Coffee,Alfajores,,,,,,,
397,Pastry,Cake,Brownie,,,,,,,
398,Medialuna,Dulce de Leche,Alfajores,,,,,,,
399,Dulce de Leche,Alfajores,,,,,,,,
400,Bread,Cake,,,,,,,,
401,Coffee,Cake,,,,,,,,
402,Bread,,,,,,,,,
403,Sandwich,,,,,,,,,
404,Bread,Coffee,Medialuna,Alfajores,,,,,,
405,Coffee,,,,,,,,,
406,Bread,Alfajores,,,,,,,,
407,Tea,Coffee,,,,,,,,
408,Bread,,,,,,,,,
409,Dulce de Leche,,,,,,,,,
410,Farm House,,,,,,,,,
411,Fudge,,,,,,,,,
412,Coffee,,,,,,,,,
413,Juice,Coffee,Brownie,Ella's Kitchen Pouches,Alfajores,,,,,
414,Alfajores,,,,,,,,,
415,Cookies,Juice,Brownie,Alfajores,Bread,,,,,
416,Cookies,Cake,,,,,,,,
417,Pick and Mix Bowls,,,,,,,,,
418,Coffee,,,,,,,,,
419,Farm House,,,,,,,,,
420,Tea,,,,,,,,,
421,Coffee,,,,,,,,,
422,Focaccia,Farm House,,,,,,,,
423,Dulce de Leche,,,,,,,,,
424,Juice,My-5 Fruit Shoot,Cookies,Ella's Kitchen Pouches,,,,,,
425,Bread,,,,,,,,,
426,Hot chocolate,,,,,,,,,
427,Coffee,,,,,,,,,
428,Coffee,,,,,,,,,
429,Coffee,,,,,,,,,
430,Medialuna,,,,,,,,,
431,Tea,Bread,Jam,,,,,,,
432,Farm House,,,,,,,,,
433,Bread,,,,,,,,,
434,Coffee,NONE,,,,,,,,
435,Medialuna,Coffee,,,,,,,,
436,Bread,,,,,,,,,
437,Pastry,Medialuna,,,,,,,,
438,Coffee,Jam,,,,,,,,
439,Bread,Coffee,,,,,,,,
440,Coffee,,,,,,,,,
441,Bread,,,,,,,,,
442,Hot chocolate,,,,,,,,,
443,Bread,Medialuna,,,,,,,,
444,Bread,Jam,,,,,,,,
445,Bread,Jam,,,,,,,,
446,Coffee,Bread,,,,,,,,
447,Bread,Farm House,,,,,,,,
448,Bread,Coffee,,,,,,,,
449,Tea,Pastry,,,,,,,,
450,Coffee,,,,,,,,,
451,Bread,,,,,,,,,
452,Pastry,Brownie,,,,,,,,
453,Farm House,,,,,,,,,
454,Coffee,,,,,,,,,
455,Tea,Coffee,Cookies,Honey,,,,,,
456,Tea,,,,,,,,,
457,Bread,,,,,,,,,
458,Brownie,,,,,,,,,
459,Bread,Coffee,,,,,,,,
460,Bread,,,,,,,,,
461,Coffee,,,,,,,,,
462,Tea,,,,,,,,,
463,Tea,,,,,,,,,
464,Coffee,,,,,,,,,
465,Bread,Coffee,,,,,,,,
466,Bread,,,,,,,,,
467,Bread,The BART,,,,,,,,
468,Coffee,NONE,Brownie,,,,,,,
469,Coffee,,,,,,,,,
470,Coffee,Brownie,,,,,,,,
471,Coffee,NONE,Tartine,Mineral water,,,,,,
472,Coffee,Brownie,,,,,,,,
473,Juice,Brownie,,,,,,,,
474,Pastry,Medialuna,Coffee,Jam,Alfajores,Tea,Bread,,,
475,Bread,,,,,,,,,
476,Fudge,,,,,,,,,
477,Coffee,Pick and Mix Bowls,,,,,,,,
478,Pastry,Bread,,,,,,,,
479,Coffee,Mineral water,Scandinavian,Soup,,,,,,
480,Juice,Sandwich,Mineral water,Pick and Mix Bowls,,,,,,
481,Pastry,Bread,NONE,,,,,,,
482,Coffee,Hearty & Seasonal,,,,,,,,
483,Bread,Coffee,Mineral water,Hearty & Seasonal,,,,,,
484,Coffee,Tartine,Sandwich,Brownie,,,,,,
485,Coffee,Brownie,,,,,,,,
486,Coffee,Tartine,Alfajores,,,,,,,
487,Coffee,Mighty Protein,,,,,,,,
488,Coffee,Hot chocolate,,,,,,,,
489,Coffee,Jam,Soup,,,,,,,
490,Brownie,Mineral water,,,,,,,,
491,Coffee,Scandinavian,,,,,,,,
492,Coffee,Scandinavian,,,,,,,,
493,Coffee,,,,,,,,,
494,Coffee,Brownie,Hot chocolate,Hearty & Seasonal,,,,,,
495,Tea,Cake,,,,,,,,
496,Medialuna,,,,,,,,,
497,Tea,Coffee,Alfajores,,,,,,,
498,Juice,Coffee,Brownie,Alfajores,,,,,,
499,Coffee,Sandwich,,,,,,,,
500,Bread,Soup,,,,,,,,
501,Bread,Soup,,,,,,,,
502,Bread,,,,,,,,,
503,Tea,Brownie,Cookies,,,,,,,
504,Coffee,Brownie,Bread,,,,,,,
505,Brownie,,,,,,,,,
506,Cookies,Bread,Jam,,,,,,,
507,Coffee,,,,,,,,,
508,Tea,Brownie,,,,,,,,
509,Medialuna,Scandinavian,Alfajores,,,,,,,
510,Cookies,Hot chocolate,Coffee,Alfajores,,,,,,
511,Brownie,,,,,,,,,
512,Fudge,,,,,,,,,
513,Tea,Brownie,,,,,,,,
514,Dulce de Leche,Fudge,,,,,,,,
515,Pastry,Fudge,Coffee,Scandinavian,Bread,Granola,,,,
516,Bread,Fudge,,,,,,,,
517,Hot chocolate,Coffee,Medialuna,NONE,,,,,,
518,Bread,,,,,,,,,
519,Bread,Medialuna,,,,,,,,
520,Bread,Coffee,Jam,Medialuna,,,,,,
521,Coffee,Brownie,Jam,,,,,,,
522,Bread,Coffee,Jam,,,,,,,
523,Scandinavian,,,,,,,,,
524,Cookies,Coffee,,,,,,,,
525,Coffee,Scandinavian,,,,,,,,
526,Bread,,,,,,,,,
527,Bread,,,,,,,,,
528,Coffee,NONE,Brownie,Jam,,,,,,
529,Coffee,,,,,,,,,
530,Hot chocolate,Brownie,,,,,,,,
531,Bread,,,,,,,,,
532,Bread,Medialuna,,,,,,,,
533,Coffee,Brownie,Hot chocolate,,,,,,,
534,Scandinavian,,,,,,,,,
535,Bread,NONE,Basket,,,,,,,
536,Coffee,Brownie,Bread,,,,,,,
537,Cake,Fudge,,,,,,,,
538,Coffee,Basket,Hot chocolate,,,,,,,
539,Scandinavian,,,,,,,,,
540,Scandinavian,,,,,,,,,
541,Medialuna,Coffee,Cake,Bread,,,,,,
542,Coffee,Medialuna,,,,,,,,
543,Pastry,Bread,,,,,,,,
544,Bread,Brownie,,,,,,,,
545,Medialuna,Farm House,,,,,,,,
546,Bread,Medialuna,,,,,,,,
547,Smoothies,Medialuna,Coffee,Brownie,Hot chocolate,,,,,
548,Medialuna,Coffee,Brownie,Tea,Bread,,,,,
549,Cookies,Medialuna,,,,,,,,
550,Coffee,Medialuna,,,,,,,,
551,Bread,Fudge,,,,,,,,
552,Tea,Coffee,,,,,,,,
553,Cookies,Coffee,,,,,,,,
554,Pastry,Bread,Brownie,,,,,,,
555,Bread,Coffee,,,,,,,,
556,Tea,Coffee,NONE,,,,,,,
557,Bread,,,,,,,,,
558,Medialuna,Coffee,,,,,,,,
559,My-5 Fruit Shoot,Coffee,Brownie,,,,,,,
560,Coffee,Fudge,,,,,,,,
561,Coffee,,,,,,,,,
562,Coffee,Basket,,,,,,,,
563,Farm House,,,,,,,,,
564,Farm House,,,,,,,,,
565,Coffee,Brownie,,,,,,,,
566,My-5 Fruit Shoot,Brownie,Scandinavian,,,,,,,
567,Coffee,Tartine,Brownie,Hot chocolate,NONE,,,,,
568,Bread,Brownie,Hot chocolate,,,,,,,
569,Fudge,Jam,,,,,,,,
570,Coffee,,,,,,,,,
571,Fudge,,,,,,,,,
572,Mighty Protein,Hearty & Seasonal,Coffee,Cake,Tea,,,,,
573,Coffee,,,,,,,,,
574,Scandinavian,,,,,,,,,
575,Cake,Victorian Sponge,Scandinavian,,,,,,,
576,Tea,Cake,,,,,,,,
577,Coffee,,,,,,,,,
578,Coffee,,,,,,,,,
579,Bread,,,,,,,,,
580,Frittata,,,,,,,,,
581,My-5 Fruit Shoot,Coffee,Brownie,,,,,,,
582,Fairy Doors,Focaccia,,,,,,,,
583,Tea,Coffee,NONE,,,,,,,
584,Hot chocolate,Brownie,Pick and Mix Bowls,Hearty & Seasonal,,,,,,
585,Frittata,Coffee,,,,,,,,
586,Bread,Brownie,,,,,,,,
587,Frittata,,,,,,,,,
588,Scandinavian,,,,,,,,,
589,Bread,,,,,,,,,
590,Farm House,,,,,,,,,
591,Brownie,Jam,Pick and Mix Bowls,Soup,,,,,,
592,Tea,Coffee,Hearty & Seasonal,,,,,,,
593,Bread,,,,,,,,,
594,Bread,Frittata,,,,,,,,
595,Scandinavian,,,,,,,,,
596,Hot chocolate,NONE,Tartine,Coffee,,,,,,
597,Coffee,Mighty Protein,,,,,,,,
598,Frittata,Coffee,,,,,,,,
599,Scandinavian,,,,,,,,,
600,Coffee,Mineral water,Hearty & Seasonal,,,,,,,
601,Scandinavian,,,,,,,,,
602,Bread,Coffee,,,,,,,,
603,Bread,Coffee,Hearty & Seasonal,Soup,,,,,,
604,Tea,Cake,Brownie,,,,,,,
605,Coffee,Mighty Protein,,,,,,,,
606,Tea,Coffee,Brownie,Soup,,,,,,
607,Cake,,,,,,,,,
608,Hot chocolate,Coffee,Cake,,,,,,,
609,Coffee,Hearty & Seasonal,,,,,,,,
610,Coffee,,,,,,,,,
611,Frittata,Coffee,Brownie,,,,,,,
612,Coke,Mineral water,Brownie,Frittata,Sandwich,,,,,
613,Granola,Scandinavian,,,,,,,,
614,Coke,Coffee,,,,,,,,
615,Tea,Cake,Brownie,,,,,,,
616,Fudge,,,,,,,,,
617,Coffee,,,,,,,,,
618,Brownie,,,,,,,,,
619,Cake,,,,,,,,,
620,Tea,,,,,,,,,
621,Coffee,Cake,Sandwich,Soup,,,,,,
622,Coffee,Brownie,Bread,,,,,,,
623,Bread,Coffee,Brownie,,,,,,,
624,Coffee,Brownie,Bread,,,,,,,
625,Coffee,Brownie,,,,,,,,
626,Coffee,Brownie,Soup,,,,,,,
627,Fudge,,,,,,,,,
628,Bread,Focaccia,,,,,,,,
629,Bread,Farm House,Jam,,,,,,,
630,Hot chocolate,Brownie,,,,,,,,
631,Hot chocolate,,,,,,,,,
632,Coffee,Brownie,,,,,,,,
633,Pastry,Medialuna,,,,,,,,
634,Bread,,,,,,,,,
635,Pastry,Coffee,Bread,,,,,,,
636,Coffee,NONE,Mineral water,,,,,,,
637,Pastry,Bread,Hot chocolate,,,,,,,
638,Bread,,,,,,,,,
639,Bread,,,,,,,,,
640,Coffee,Jam,Bread,,,,,,,
641,Pastry,Coffee,NONE,,,,,,,
642,Medialuna,Hearty & Seasonal,Coffee,NONE,Focaccia,,,,,
643,Bread,Coffee,Farm House,Jam,,,,,,
644,Farm House,,,,,,,,,
645,Tea,Coffee,Medialuna,Pastry,,,,,,
646,Pastry,Medialuna,Coffee,,,,,,,
647,Coffee,Farm House,Basket,Hot chocolate,,,,,,
648,Pastry,Farm House,,,,,,,,
649,My-5 Fruit Shoot,Hot chocolate,Coffee,,,,,,,
650,Pastry,Medialuna,Muffin,,,,,,,
651,Farm House,,,,,,,,,
652,Pastry,Focaccia,Muffin,,,,,,,
653,Tea,Coffee,,,,,,,,
654,Bread,,,,,,,,,
655,Focaccia,,,,,,,,,
656,Pastry,Coffee,Jam,Hot chocolate,,,,,,
657,Bread,,,,,,,,,
658,Pastry,Coffee,Bread,,,,,,,
659,Tea,NONE,,,,,,,,
660,Hot chocolate,Coffee,Mineral water,,,,,,,
661,Coffee,,,,,,,,,
662,Coffee,,,,,,,,,
663,Coffee,NONE,Jam,,,,,,,
664,Muffin,,,,,,,,,
665,Bread,,,,,,,,,
666,Bread,,,,,,,,,
667,Bread,,,,,,,,,
668,Hot chocolate,NONE,Coffee,Muffin,,,,,,
669,Fudge,Muffin,,,,,,,,
670,Bread,,,,,,,,,
671,Bread,,,,,,,,,
672,Farm House,,,,,,,,,
673,Coffee,Muffin,,,,,,,,
674,Focaccia,,,,,,,,,
675,Tea,Bread,,,,,,,,
676,Coffee,Hot chocolate,,,,,,,,
